"","text","emotion","polarity"
"52","im sure u like indomie paa thats why u have a wrapper on ur right handthat be ind","joy","positive"
"53","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"54","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"55","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"56","too early to eat indomie kuah but here i am","unknown","positive"
"57","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"58","you mean business today 
we go drag indomie today","unknown","negative"
"59","ikr best thing i have ever eaten except for indomie indomie remian top tier","surprise","positive"
"60","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"61","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"62","ive tried these two tootold you i grew up on indomie 🤣 the bawang one is my fave bawang is also onion in tagalog","unknown","positive"
"63","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"64","today i used weed to cook indomie
my mom ate it and she has been sleeping since morning🤣","unknown","neutral"
"65","omo the gbedu sweet pass indomie i swear 🥰🥰","unknown","negative"
"66","man is really hungry suggest a quick food not indomie dems🤲","unknown","neutral"
"67","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"68","the right way to eat indomie is with plenty pepper","unknown","neutral"
"69","search youtube cara bikin indomie abang adek","unknown","positive"
"70","two indomie is too much and one is too small for me i wish indomie will introduce one and half pack of indomie and nam","unknown","positive"
"71","im leaving this place uncle i no help you do indomie and open gate again","unknown","positive"
"72","before indomie was breadand eggs","unknown","positive"
"73","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"74","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"75","has to be indomie and boiled egg","unknown","positive"
"76","indomie lol","unknown","positive"
"77","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"78","you no do some youve not had a childhood not talking to indomie generation","unknown","positive"
"79","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"80","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"81","anyway my thirst for living is entirely valved on my access to indomie mi goreng noodles","unknown","negative"
"82","listening to vittinghus podcast amp i was still laughing because mr ceo really contacting him to arrange indomie sup","unknown","negative"
"83","indomie so fkn good","joy","positive"
"84","idk if indomie counts but yes lmaoo hj","unknown","positive"
"85","indomi jumbo ayam panggang

flavor isnt my favorite but its my fav because of sentimental reasons i used to spen","unknown","positive"
"86","cos indomie is selera tl 
my god pardon my lame joke 🏻","sadness","positive"
"87","time flies ooo
who remembers this indomie advert
i can still sing the song from start to finish","unknown","positive"
"88","playing now

 indomiebywakenbake 🏋🏾‍️

w xx 
 
tune in","unknown","positive"
"89","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"90","indomie noodles are back on takealot 🏾🏾🏾🏾","unknown","positive"
"91","food is indeed a love language in this family my brother made me indomie yesterday today i made him geprek","joy","positive"
"92","jual netflix antihold garansi

sharing k k bulan
private k k bulan

 pricelist cek pinned","unknown","positive"
"93","na indomie and spaghetti dey do me this morning","unknown","positive"
"94","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"95","not other liquid products as its just a case of filling in a larger conta","unknown","positive"
"96","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"97","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"98","time flies ooo
who remembers this indomie advert
i can still sing the song from start to finish","unknown","positive"
"99","different day different indomie","unknown","positive"
"100","oh also alsoit doesnt come in a cup i dont think but try mi goreng indomie bomb the packets are","unknown","negative"
"101","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"102","i want to eat indomie too but i alr ate two yesterday","unknown","positive"
"103","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"104","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"105","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"106","indomie for lunchmy mom mad asking indomie again she thinks i eat indomie everyday but its beenmonths las","anger","neutral"
"107","two indomie is too much and one is too small for me i wish indomie will introduce one and half pack of indomie and nam","unknown","positive"
"108","im craving indomie with bread and eggs this evening o is it bad to eat it this late","sadness","neutral"
"109","tinjangnim u r really a man🏼
not all indonesians love badminton but","joy","positive"
"110","just me in the country that made indomie but not eat all the variety in this photo","unknown","positive"
"111","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"112","the government need to put indomie as indonesias gastrodiplomacy","unknown","negative"
"113","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"114","indomie be like","joy","positive"
"115","anyways ya girl bought apack variety of indomie and instead of gettingof the flavors that were advertised amaz","surprise","positive"
"116","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"117","theyll rather vote yahaya bello over atiku abubakar if he decides to run for the elections

please where are those peopl","joy","positive"
"118","okay why is indomie flying around in my tl right now","unknown","positive"
"119","indomie min please","joy","positive"
"120","rest well amp have indomie party tonite ✨","unknown","positive"
"121","if you eat indomie with nasi u good","joy","positive"
"122","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"123","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"124","wow im glad you like it that much fun fact in here most taste on food can be found in the form of indomie","joy","neutral"
"125","english hes fucking me

ilorin people indomie","unknown","negative"
"126","all of that and then indomie","unknown","positive"
"127","i heard they will raise a statue of hans in jakarta eating indomie","unknown","positive"
"128","u can eat indomie with rice spinach eggs seaweed sausage or chicken strap its so boombas","unknown","positive"
"129","the power of indonesia supporter with indomie🤣","unknown","positive"
"130","thinking about how indomie goreng debutedyears ago but still gaining fame from around the world 

indofood is really th","unknown","positive"
"131","two indomie is too much and one is too small for me i wish indomie will introduce one and half pack of indomie and nam","unknown","positive"
"132","u can eat indomie with rice spinach eggs seaweed sausage or chicken strap its so boombas","unknown","positive"
"133","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"134","it does really taste like indomie with different noodle texture i surprise myself","joy","positive"
"135","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"136","i made my own noodle from scratch and i crack the indomie seasoning code yes bumbu indomienya ngeracik sendiri","unknown","neutral"
"137","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"138","or maybe for a bowl of indomie","unknown","positive"
"139","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"140","whenever you see a girl buyin indomie with oversized slippers amp shirt 
bro respect yourself dont toast her shes in","anger","positive"
"141","i had indomie for dinner like niggas from eastlands","joy","positive"
"142","indomie goes to denmark 🤣🤣🤣","unknown","positive"
"143","not at ppl talking about indomie while forgetting that supermie is the blueprint","unknown","positive"
"144","i want this indomie 

indomie 
noodles 

im happy with this","joy","positive"
"145","jual netflix antihold garansi

sharing k k bulan
private k k bulan

 pricelist cek pinned","unknown","positive"
"146","hahahahahah i loooove indomie i had this since i was a kid so its one of my comfort food ✨✨ its","joy","positive"
"147","yall so my dad secretly bought an indomie and put it in this one place and just now i entered the kitchen and my mo","unknown","positive"
"148","first time indomie","unknown","positive"
"149","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"150","for babe wey dem disvirgin with aminu mishai and indomie
lmao","unknown","positive"
"151","jual netflix antihold garansi

sharing k k bulan
private k k bulan

 pricelist cek pinned","unknown","positive"
"152","i havent had indomie sincei miss her so much","unknown","negative"
"153","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"154","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"155","askjaypark would you like to upload a vlog about indomie i mean with the hghr boys sksjjskksksjs","joy","neutral"
"156","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"157","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"158","in indomie we trust long life indomie","unknown","negative"
"159","ok theyre gone but r they gone for the day or r they just outcha eating indomie kornet n be back later","unknown","positive"
"160","indomie time","unknown","positive"
"161","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"162","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"163","jual netflix antihold garansi

sharing k k bulan
private k k bulan

 pricelist cek pinned","unknown","positive"
"164","🤣🤣🤣🤣 most men dont respect themselves to eat well sometimes back niliona some boys competing to cook indomie 🤣🤣🤣🤣","joy","positive"
"165","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"166","theyll rather vote yahaya bello over atiku abubakar if he decides to run for the elections

please where are those peopl","joy","positive"
"167","thankyou hans for helping ginting qualified fro world tour final","unknown","positive"
"168","yessir aamiin 🏻 your show always on my wishlist ️ ill give you indomie goreng and please share with","joy","negative"
"169","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"170","indomie for life 🤣","unknown","positive"
"171","askjaypark have you ever tried indonesian fried rice and indomieplease reply","unknown","positive"
"172","jual netflix antihold garansi

sharing k k bulan
private k k bulan

 pricelist cek pinned","unknown","positive"
"173","have u ever tried eating indomie like a harryaskjaypark","joy","positive"
"174","im still curious about indomie but i tired send you a question so have a good weekend jay","disgust","negative"
"175","indomieforhans 

one year of indomie coming your way 

toyotathailandopen","unknown","negative"
"176","askjayparkdo you eat indomie","unknown","positive"
"177","yeonjun you should try indomie
연준이에게물어봐","unknown","negative"
"178","do you want indomie ill send it later","unknown","neutral"
"179","i hope my husband knows he will be consuming indomie for dinnerout ofdays of the week","unknown","positive"
"180","prince called me up to his office one day januaryto tell me that the comma inon the cover of the magazine shoul","unknown","positive"
"181","choose the one you like indomie or jajangmyeon
askjaypark","joy","positive"
"182","i dont want to taste the food oppa kyuhyun the name is indomie fried noodles stirfried egg mustard spicy aku send","joy","positive"
"183","its time for lunch now if you were in indonesia what would you eat
nasi goreng🍽️
indomie
nasi pecel
nasi","unknown","positive"
"184","is moderate the chili sachet that comes with indomie","unknown","positive"
"185","have you tried indomie like harry did","joy","positive"
"186","did u know that harry went famous in indonesia cuz the indomie accident askjaypark","unknown","neutral"
"187","indomie the new nct member","unknown","positive"
"188","askjaypark have you eaten indomie like harry","joy","positive"
"189","trs bikin vlog unboxing indomie setruck","unknown","positive"
"190","have you eat indomie like harry eat","joy","positive"
"191","have you tried the indomie and some indonesian snacks that have sent to hghr artists haha just curious","unknown","positive"
"192","do you want indomie","unknown","positive"
"193","dogdog noodle alias 매우 spicy indomie ala aa burjo my luv","unknown","positive"
"194","what do you thinking about indomie","unknown","positive"
"195","do you like indomie noodles indomie noodles from indonesia this very tasty🤩🤩","joy","positive"
"196","indomie mi goreng with steamed shrimp and kimchi with spicy fire sauce","unknown","positive"
"197","indomie mi goreng with fried quail eggs and homemade kimchi 🤤","unknown","positive"
"198","indomie mi goreng with fried quail eggs and homemade kimchi 🤤","unknown","positive"
"199","indomie legend","unknown","positive"
"200","indomie noodle is very tasty","unknown","positive"
"201","indomie go to denmark astagaaaa 🤣🤣🤣","unknown","positive"
"202","i recommend indomie noodles for better life","unknown","positive"
"203","do you like indomie you must have it in your dorm","joy","positive"
"204","you must try indomie indomie is a ramen from indonesia gtlt","unknown","negative"
"205","you must try indomie indomie is a ramen from indonesia gtlt","unknown","negative"
"206","do you want to eat indomie","unknown","positive"
"207","lets eat indomie","unknown","positive"
"208","i will go eat indomie for today","unknown","positive"
"209","i need eat mie goreng indomie","unknown","negative"
"210","do you want to eat indomie","unknown","positive"
"211","also indomie was great i overcooked the noodles though but i shall cook one more next time grabe nakaka adik shet","joy","neutral"
"212","have you tried indomie noodles","unknown","positive"
"213","do you know indomie","unknown","positive"
"214","eat indomie","unknown","positive"
"215","do you like indomie","joy","positive"
"216","yeonjun do u like indomie","joy","positive"
"217","do you know indomie","unknown","positive"
"218","lets try indomie sooooooooo delicious indomie is ramen from indonesia","unknown","neutral"
"219","do you know indomie this is so delicious","unknown","positive"
"220","have you try indomie so delicious","unknown","neutral"
"221","do you know indomie","unknown","positive"
"222","you know indomie from indonesia","unknown","positive"
"223","indomie for lyfe u must try it","unknown","negative"
"224","oppado you like indomie","joy","positive"
"225","do you know indomie soto","unknown","positive"
"226","indomie for better luckiykwim","unknown","positive"
"227","do you know indomie","unknown","positive"
"228","have you ever eaten indomie🤔🤔","unknown","positive"
"229","you must try indomieindomie seleraku and also you too selera ku is mean my type","unknown","negative"
"230","do you like indomie indonesia noodles","joy","positive"
"231","now imma go and buy indomie cause i havent tried it yet","unknown","positive"
"232","hi sungchan shotaro 
you want indomie","unknown","positive"
"233","eating ramyeon from indonesiaindomieso delicious","unknown","positive"
"234","you must try indomie indomie is a ramen from indonesia","unknown","negative"
"235","do you ever eat indomie","unknown","positive"
"236","i like indomie","joy","positive"
"237","have you ever eaten indomiehow does it feel do you like it","joy","positive"
"238","do you like indomie","joy","positive"
"239","sungchan do you like indomie","joy","positive"
"240","you must try indomie pake telor🏻","unknown","negative"
"241","do you want some indomie i can make it for you","unknown","positive"
"242","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"243","you must try indomie indomie is a ramen from indonesia gtlt","unknown","negative"
"244","you must try indomie indomie is a ramen from indonesia gtlt","unknown","negative"
"245","if you come to indonesia you should eat indomie or maybe seblak","unknown","positive"
"246","you must try this this is indomie ㅋㅋㅋㅋ🏻🏻","unknown","negative"
"247","have you tried indomie","unknown","positive"
"248","if the corona is gone lets visit indonesia i will give you indomie","unknown","positive"
"249","i recommend indomie you know this is so delicious nyam nyam","unknown","positive"
"250","you must try indomie indomie is a ramen from indonesia gtlt","unknown","negative"
"251","you have to try indomie at least once in a lifetime","unknown","negative"
"252","indomie world domination","unknown","neutral"
"253","mjb kurang indomie","unknown","positive"
"254","im eating indomie do you want","unknown","positive"
"255","eat nasi goreng very delicious or you can get indomie from wayv they have many","sadness","neutral"
"256","indomie goreng try it","unknown","negative"
"257","u must try indomie fried noodle","unknown","negative"
"258","the name of the noodle is indomie highly recommended even wayv members have bought it you have to try it","unknown","neutral"
"259","have you ever eaten indomiehow does it feel do you like it","joy","positive"
"260","apa kabar 
do you want some indomie
ive some a lot of noodle","unknown","positive"
"261","you must eat indomie thats very delicious","unknown","positive"
"262","omooo have you tried this indomie mi goreng is so delicious ✨","unknown","positive"
"263","you must try indomie indomie is a ramen from indonesia gtlt","unknown","negative"
"264","do you like indomie klepon","joy","positive"
"265","oh you should eat indomiechicken its my recommended lunch","unknown","positive"
"266","pleas try indomie its like ramyeon but from indonesia","joy","negative"
"267","i want to go bed now but you all still menpa so i cant go sleep now 
eat indomie","anger","positive"
"268","indomie best boy","unknown","neutral"
"269","you know indomie this is indomie rebus its same with indomie goreng but this one ada air nya","unknown","neutral"
"270","eat indomie","unknown","positive"
"271","eat indomie for better life","unknown","positive"
"272","indomie indonesia very good","joy","positive"
"273","indomie goreng very delicious you must try","unknown","neutral"
"274","indomie the best","unknown","positive"
"275","you should try indomie goreng is amazing","surprise","neutral"
"276","eat indomie goreng please its so yummy","joy","positive"
"277","you should try indomie","unknown","negative"
"278","try indomie goreng fried noodle","unknown","negative"
"279","do you know indomie thats so delicious its same with ramen but thats from indonesia if you want to","unknown","positive"
"280","have you tried indomie goreng","unknown","positive"
"281","you should try indomie","unknown","negative"
"282","indomie noodles are delicious 🤤","unknown","positive"
"283","indomie its so good","joy","positive"
"284","my indomie is coming","unknown","positive"
"285","bottle of beer 
i plate of cow pepper soup 
indomie and bottle water 

remainingna for strippers 

k don set","fear","negative"
"286","indomie world domination","unknown","neutral"
"287","now imma go and buy indomie cause i havent tried it yet","unknown","positive"
"288","indomie goreng would be great","joy","positive"
"289","do you like indomie","joy","positive"
"290","do u know indomie","unknown","positive"
"291","do you want some indomie
ive some a lot of noodle","unknown","positive"
"292","sekarang kamu tau kan kekuatan indomieit is make something difficult become possible one it will be a history","unknown","neutral"
"293","sungchan thats indomied","unknown","positive"
"294","indomiemie sedaapyour moveis one step ahead","unknown","positive"
"295","this called indomie you want some🤔","unknown","positive"
"296","shotaro do you like indomie","joy","positive"
"297","are you hungry please eat now i recommended indomie gorengboncabe levelits so yummy","joy","positive"
"298","have u tried indomie goreng its soooooo delicious","unknown","positive"
"299","indomie is the solution","unknown","positive"
"300","mantepppp indomie will having flight personally for pak hans🤣","unknown","neutral"
"301","i know im not the only one who boils the kettle before making indomie","unknown","positive"
"302","thinking about how indomie goreng debutedyears ago but still gaining fame from around the world 

indofood is really th","unknown","positive"
"303","ill have to see if i can find it in korea i was so lucky just to find fried indomie","unknown","positive"
"304","the power of indomie","unknown","positive"
"305","today i used weed to cook indomie
my mom ate it and she has been sleeping since morning🤣","unknown","neutral"
"306","another marketing for indomie that costswell done","unknown","positive"
"307","indomieforhans 

one year of indomie coming your way 

toyotathailandopen","unknown","negative"
"308","well that you need indomie to heal that or something cheat meals hahahaha 🤣🤣🤣🤣","unknown","negative"
"309","try indomie for approved it if its make you winning 🤣🤣🤣🤣","joy","negative"
"310","indomie use mie goreng as well spring for it","unknown","positive"
"311","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"312","i have no idea about indonesiai only know about the guys and indomieplease tell me more","unknown","positive"
"313","today i used weed to cook indomie
my mom ate it and she has been sleeping since morning🤣","unknown","neutral"
"314","indomie for seksibukankepalang","unknown","positive"
"315","hahahahaha omo its the patches jennie not indomie lol that only heal my tummy","unknown","positive"
"316","morning hani aigoo your indomie will heal that","unknown","positive"
"317","dont worrynothing is impossible for mr axton salim for getting you indomie his family owns the facto","unknown","negative"
"318","indomie is now trending around badminton athletes hahahhahaha cuteeee wonder if the tpe athletes are also joining t","surprise","positive"
"319","been eating indomie lately see u guys at my funeral 🤍","unknown","positive"
"320","vibrant ginger indomie noodles soup with custardy eggs and dambu nama for extra chew plus masterchef australiais","unknown","positive"
"321","indomie foreverr 🤣","unknown","positive"
"322","indomie world domination","unknown","neutral"
"323","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"324","pak hans motivation for the match

points ❌
prize money ❌
indomie ✅","unknown","positive"
"325","safeway indomie the future is here","unknown","positive"
"326","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"327","indomie indomie everywhere","unknown","positive"
"328","good morning 🤗🤗 beelare u ready for todaayda pada makan indomie kayana kmrblessing from our sarapq","joy","positive"
"329","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"330","two indomie is too much and one is too small for me i wish indomie will introduce one and half pack of indomie and nam","unknown","positive"
"331","theyll rather vote yahaya bello over atiku abubakar if he decides to run for the elections

please where are those peopl","joy","positive"
"332","indomie do your magic","unknown","positive"
"333","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"334","indomie
this iscrazy🤣
lifted the car body manually without use other toolsnormally use a forkliftampjacksbu","unknown","positive"
"335","starving for indomie","unknown","positive"
"336","men are dogs but every minute biaa area boys di indomie gh di wo door to door","unknown","positive"
"337","men are dogs but every minute biaa area boys di indomie gh di wo door to door","unknown","positive"
"338","men are dogs but every minute biaa area boys di indomie gh di wo door to door","unknown","positive"
"339","thinking about how indomie goreng debutedyears ago but still gaining fame from around the world 

indofood is really th","unknown","positive"
"340","indomieforhans 

one year of indomie coming your way 

toyotathailandopen","unknown","negative"
"341","indomie for breakfast lets go ‍️‍‍‍️‍‍‍️‍‍‍️‍‍‍️‍‍","unknown","positive"
"342","camping food is just different kinds of indomie","unknown","positive"
"343","happy bornday","joy","positive"
"344","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"345","waduhh indomie","unknown","positive"
"346","do you have a special topping for your glorious indomie kaldu","surprise","positive"
"347","indomieforhans 

one year of indomie coming your way 

toyotathailandopen","unknown","negative"
"348","whenever you see a girl buyin indomie with oversized slippers amp shirt 
bro respect yourself dont toast her shes in","anger","positive"
"349","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"350","krystal noonaindomie as bfast 

me be like","joy","positive"
"351","i know im not the only one who boils the kettle before making indomie","unknown","positive"
"352","fbf of the late prince gracing the stage for the th naacpimageawards may he rest in power 🏾

watch the nd n","fear","negative"
"353","youre stupid a girl says she doesnt know juninho and me making it clear to her the","surprise","neutral"
"354","sure","unknown","positive"
"355","i just finish pack of indomie now now","unknown","positive"
"356","yesplease release it","unknown","positive"
"357","piano amp a microphone was professionally recorded on video with a multicam production and the fulllength audio of bo","unknown","positive"
"358","hot and spicy indomie withboiled eggs","unknown","positive"
"359","indomie stans are so annoying indomie did not pave the way its true the world love them rn but yall really did supermi di","anger","negative"
"360","u have indomie hair its nice","unknown","positive"
"361","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"362","this indomie generation smh","unknown","positive"
"363","apart from indomie what other food can you get to buy at this time","sadness","negative"
"364","️️️ ready for eat indomie in a year everyday","unknown","positive"
"365","are you meet ginting he want to give you indomie ahahaha btw goodluck for tomorrow️","unknown","positive"
"366","permainan yang bagus good luck untuk besok stay healthy and eat indomie as much as you want🤣","joy","positive"
"367","see me swallowing indomie like a prisoner by this time omo🤣","joy","neutral"
"368","congrats om dont forget to reply axton salims dm because he wants to send you indomie 🤣🤣🤣","unknown","negative"
"369","what a match you played so well today both of you gave a spectacular match for audience co","unknown","positive"
"370","i love u too unclethank you so much hopefully you win this tournament 
btw yo","joy","positive"
"371","have a good recovery tonight good luck for the sf indomie is waiting for you the best import","joy","positive"
"372","getting ready to eat this soaked indomie","unknown","positive"
"373","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"374","is it too late to make indomie","unknown","positive"
"375","dont forget indomie hahaha","unknown","negative"
"376","awake 
eating indomie","unknown","positive"
"377","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"378","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"379","morn vibes 
cigarettes after indomie soto","unknown","positive"
"380","indomie is the best food to made for midnight snack 🤭","unknown","positive"
"381","apart from indomie what other food can you get to buy at this time","sadness","negative"
"382","apart from indomie what other food can you get to buy at this time","sadness","negative"
